epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,0.0001,0.9883484635728786,0.6412966615802598,0.7350930296875777,0.7304619659604029,0.6680404450451859
2,9.972883382072954e-05,0.7720515075493561,0.7220216606498195,0.7115291553617724,0.7455713789510247,0.6931572836440577
3,9.891830623632339e-05,0.695980884748973,0.7503070452938331,0.6595487664568523,0.7613754775963877,0.723848318266047
4,9.757729755661011e-05,0.6347906486133296,0.7683575868100785,0.6343729405218465,0.7709274053490796,0.7307724158484349
5,9.572050015330873e-05,0.571938384120086,0.791283635416279,0.6472119634745228,0.774574505036471,0.7351938494848672
6,9.336825748732972e-05,0.5224494528635572,0.8111206222784622,0.6577066540583507,0.7766585620006947,0.732045908662352
7,9.05463412215599e-05,0.46979790613415157,0.8279802002307491,0.6773471978517943,0.7695380340395971,0.7318980164141257
8,8.728566886113101e-05,0.4204945443836205,0.8452119542967732,0.6913275489264652,0.767280305661688,0.7278279678950178
9,8.362196501476347e-05,0.36435440282622183,0.8658305109978042,0.7394546605827763,0.7631121917332407,0.7237021373763158
10,7.959536998847741e-05,0.3190200088846612,0.8842904462391604,0.771086924698381,0.767280305661688,0.7254572218615999
11,7.524999999999999e-05,0.2781365753127456,0.8984331385611671,0.8398666378296976,0.7589440778047933,0.7232385080286446
12,7.06334638322521e-05,0.2497564152738851,0.9088540697458037,0.8528486244424468,0.7766585620006947,0.7364567053757453
